,sales_count,name_store,name_product,street,city,state,country,latitude,longitude,zip_code,products,sales,unpriced_sales,priced_sales,start_date,end_date,is_actual_price,price,inventory_price
18,,walmart supercenter,Smithfield Foods,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,10.58,11.87
19,39.0,walgreens,Hormel Foods,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,7.99,8.49
20,,target,Sara Lee,150 w 100th ave, anchorage,AK,USA,61.129094,-149.881696,99515,60766.0,0.0,0.0,0.0,03/17/2022,,TRUE,5.04,5.29
21,442.0,walgreens,Tyson Foods,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/09/2022,,TRUE,9.49,10.49
22,,walmart supercenter,Clif Bar,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.34,3.65
23,,walmart supercenter,Lucky Charms,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,20.26,34.93
24,,walgreens,Cinnabon,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,9.99,11.99
25,74.0,walgreens,Swiss Miss,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,66.99,71.99
26,144.0,walgreens,Totinos,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,24.49,26.99
27,158.0,walgreens,DiGiorno Pizza,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/13/2022,,TRUE,9.99,11.99
28,137.0,walgreens,Bisquick,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,35.99,39.99
29,84.0,walgreens,Betty Crocker,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,8.49,9.49
30,,walmart supercenter,Jif Peanut Butter,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,4.32,9.66
31,674.0,target,Dairygold,150 w 100th ave, anchorage,AK,USA,61.129094,-149.881696,99515,60766.0,0.0,0.0,0.0,02/23/2022,,TRUE,4.04,4.29
32,,walgreens,Talenti,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,8.99,10.99
33,0.0,walgreens,Magnum,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,3.49,4.49
34,,target,Breyers,150 w 100th ave, anchorage,AK,USA,61.129094,-149.881696,99515,60766.0,0.0,0.0,0.0,03/02/2022,,TRUE,4.04,4.29
35,,walmart supercenter,TRESemmé,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,6.68
36,9.0,walgreens,Suave,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,37.99,41.99
37,,walmart supercenter,CoverGirl,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,14.86,9.28
38,3.0,walgreens,Maybelline,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,30.99,34.99
39,328.0,walgreens,Aveeno,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/09/2022,,TRUE,6.99,8.99
40,0.0,walmart supercenter,Wrigleys,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.75,20.0
41,,walmart supercenter,Snickers,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,14.71,4.98
42,0.0,walmart supercenter,Crush Orange,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,3.48
43,2959.0,walgreens,Malt-O-Meal,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/09/2022,,TRUE,6.24,6.49
44,,walmart supercenter,Fanta,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,22.49,24.99
45,466.0,walgreens,Ajinomoto,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/04/2022,,TRUE,2.24,2.49
46,355.0,walgreens,Starkist,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,24.99,27.99
47,,walmart supercenter,Chiquita,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,17.99,29.69
48,305.0,target,Mentos,150 w 100th ave, anchorage,AK,USA,61.129094,-149.881696,99515,60766.0,0.0,0.0,0.0,03/02/2022,,TRUE,6.59,7.09
49,774.0,target,Kinder,150 w 100th ave, anchorage,AK,USA,61.129094,-149.881696,99515,60766.0,0.0,0.0,0.0,02/21/2022,,TRUE,3.54,3.79
50,,walgreens,Tic Tac,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,5.99,6.99
51,,walmart supercenter,Ferrero Rocher,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,11.34,7.48
52,,walmart supercenter,Nutella,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.34,3.65
53,,walmart supercenter,Kotex,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,0.98,1.19
54,193.0,fairway market,Air Wick,4th & state st,skagway,AK,USA,59.56644,-135.3283,99840,0.0,0.0,0.0,0.0,03/20/2022,,TRUE,4.19,5.76
55,63.0,walgreens,Veet,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,5.24,5.99
56,43.0,best 4 less,Pepsodent,108 viking way,juneau,AK,USA,0.0,0.0,0,0.0,0.0,0.0,0.0,03/30/2022,,TRUE,13.99,24.99
57,89.0,walgreens,Ovaltine,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/04/2022,,TRUE,2.24,2.49
58,,walgreens,Stouffers,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,7.99,9.49
59,4.0,walgreens,Bragg,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,7.49,8.99
60,,walmart supercenter,Maggi,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,8.87,9.86
61,137.0,walgreens,Perrier,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,27.99,31.99
62,,walmart supercenter,San Pellegrino,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,17.99,29.69
63,147.0,walgreens,Canada Dry,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,3.49,4.99
64,0.0,walmart supercenter,Minute Maid,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,11.89,16.99
65,,target,Lipton Tea,150 w 100th ave, anchorage,AK,USA,61.129094,-149.881696,99515,60766.0,0.0,0.0,0.0,01/06/2022,,TRUE,3.94,4.19
66,,walmart supercenter,Pepsi,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,9.38
67,,walmart supercenter,Aquafina,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,9.38
68,,walmart supercenter,Red Bull,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,3.24,5.98
69,,walmart supercenter,Listerine,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,14.71,4.98
70,894.0,walgreens,Head & Shoulders,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/04/2022,,TRUE,3.74,3.99
71,,walgreens,St. Ives,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/07/2022,,TRUE,2.24,2.49
72,,walmart supercenter,Nivea,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,6.98,9.99
73,111.0,walgreens,Olay,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,8.49,8.99
74,27.0,walgreens,Carefree,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/15/2022,,TRUE,5.24,5.49
75,73.0,walgreens,Axe,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/15/2022,,TRUE,5.29,6.29
76,1.0,walgreens,Dial,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/07/2022,,TRUE,19.99,20.99
77,,walgreens,Clean & Clear,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,5.99,6.99
78,,best 4 less,Ponds,108 viking way,juneau,AK,USA,0.0,0.0,0,0.0,0.0,0.0,0.0,03/30/2022,,TRUE,344.99,404.99
79,,walgreens,McCormick,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/10/2022,,TRUE,2.24,2.49
80,225.0,walgreens,Starbucks,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,30.99,34.99
81,278.0,target,Dunkin Donuts,150 w 100th ave, anchorage,AK,USA,61.129094,-149.881696,99515,60766.0,0.0,0.0,0.0,03/16/2022,,TRUE,6.49,6.99
82,,walmart supercenter,Aquafresh,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,6.18,8.64
83,84.0,walgreens,Reynolds (Kitchen),1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,8.49,9.49
84,,walmart supercenter,Domex,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,8.87,9.86
85,,walmart supercenter,Lysol,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,3.48
86,,walgreens,Pampers,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,8.49,9.49
87,,walmart supercenter,Cetaphil,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.48,5.33
88,,walmart supercenter,Vaseline,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,18.96,5.48
89,113.0,walgreens,Kleenex,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,15.99,17.49
90,466.0,walgreens,Heinz,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/04/2022,,TRUE,2.24,2.49
91,,walmart supercenter,Garnier,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,18.5,5.48
92,1.0,best 4 less,Close-Up,108 viking way,juneau,AK,USA,0.0,0.0,0,0.0,0.0,0.0,0.0,03/30/2022,,TRUE,155.98,225.98
93,73.0,walgreens,Purex,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/15/2022,,TRUE,5.29,6.29
94,0.0,walmart supercenter,Whiskas,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,24.06,36.17
95,,walgreens,Pedigree,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/14/2022,,TRUE,7.49,9.49
96,0.0,walgreens,Purina,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,21.99,25.99
97,,walmart supercenter,Rachel Ray Nutrish,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,3.98,5.68
98,466.0,walgreens,Blue Buffalo,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/04/2022,,TRUE,2.24,2.49
99,110.0,walgreens,Yoplait,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,27.99,31.99
100,0.0,walgreens,Monster,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,8.49,9.49
101,116.0,walgreens,Tropicana,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,26.99,29.99
102,,family dollar #375,Yogi (Tea),"761 mckenzie street,","foley,",AL,USA,30.413609382868792,-87.68384543580555,36535,0.0,0.0,0.0,0.0,01/22/2022,,TRUE,1.74,1.99
103,,target,Bumble Bee,4616 highway 280, birmingham,AL,USA,33.42553,-86.711805,35243,60766.0,0.0,0.0,0.0,02/25/2022,,TRUE,3.34,3.59
104,39.0,walgreens,Colgate,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,7.99,8.49
105,15.0,whole food creations,Kraft ,4282 silver lake road,pinson,AL,USA,33.688326,-86.678329,35215,837.0,837.0,0.0,837.0,08/05/2022,,TRUE,6.39,7.99
106,137.0,walgreens,Arm & Hammer,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,35.99,39.99
107,,whole food creations,Argo Tea,4282 silver lake road,pinson,AL,USA,33.688326,-86.678329,35215,837.0,837.0,0.0,837.0,08/03/2022,,TRUE,35.89,44.95
108,466.0,family dollar #375,Cheetos,"761 mckenzie street,","foley,",AL,USA,30.413609382868792,-87.68384543580555,36535,0.0,0.0,0.0,0.0,01/22/2022,,TRUE,1.74,1.99
109,,walmart neighborhood market,Swanson,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,9.38
110,,walmart neighborhood market,Hormel,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,18.75,4.78
111,4.0,whole food creations,Schweppes,4282 silver lake road,pinson,AL,USA,33.688326,-86.678329,35215,837.0,837.0,0.0,837.0,07/20/2022,,TRUE,1.89,2.29
112,,walmart neighborhood market,Gerber,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,3.48
113,,whole food creations,Peter Pan,4282 silver lake road,pinson,AL,USA,33.688326,-86.678329,35215,837.0,837.0,0.0,837.0,08/06/2022,,TRUE,11.49,9.99
114,118.0,walgreens,Chicken of the Sea,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,11.99,13.99
115,7.0,cvs/pharmacy,Hellmanns,6891 vaughn road,montgomery,AL,USA,32.3397,-86.19655,36106,3.0,0.0,0.0,0.0,03/19/2022,,TRUE,5.99,9.29
116,9.0,whole food creations,Budweiser,4282 silver lake road,pinson,AL,USA,33.688326,-86.678329,35215,837.0,837.0,0.0,837.0,08/02/2022,,TRUE,3.99,4.99
117,0.0,family dollar #375,Del Monte,"761 mckenzie street,","foley,",AL,USA,30.413609382868792,-87.68384543580555,36535,0.0,0.0,0.0,0.0,02/26/2022,,TRUE,5.09,6.09
118,137.0,walgreens,Boars Head,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,35.99,39.99
119,,walgreens,Cream O Land,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,02/13/2022,,TRUE,2.24,2.49
120,2.0,walmart neighborhood market,Hersheys,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,3.6,5.79
121,,walmart neighborhood market,Borden,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,25.0,5.98
122,,walmart neighborhood market,Snapple,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,3.48
123,,walmart neighborhood market,Dannon,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,18.96,5.48
124,9.0,walgreens,Gatorade,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,37.99,41.99
125,268.0,walgreens,Barilla,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,7.49,8.99
126,12.0,walgreens,Folgers,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,3.49,4.49
127,0.0,walgreens,Haagen-Dazs,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,21.99,25.99
128,,walmart neighborhood market,Tide,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,10.18,8.68
129,,walmart neighborhood market,Eggo,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,26.39,29.99
130,519.0,walgreens,Ariel,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,02/15/2022,,TRUE,8.49,9.99
131,47.0,walgreens,Quaker,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,22.99,24.99
132,,walmart neighborhood market,Coca Cola,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,21.99,3.68
133,,whole food creations,Campbells,4282 silver lake road,pinson,AL,USA,33.688326,-86.678329,35215,837.0,837.0,0.0,837.0,08/04/2022,,TRUE,2.69,3.49
134,,walmart neighborhood market,Frito-Lay,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,10.83,3.98
135,0.0,walgreens,Dove,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,10.99,13.99
136,,family dollar #375,Pillsbury,"761 mckenzie street,","foley,",AL,USA,30.413609382868792,-87.68384543580555,36535,0.0,0.0,0.0,0.0,01/22/2022,,TRUE,1.74,1.99
137,116.0,walgreens,Nabisco,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,26.99,29.99
138,,walmart neighborhood market,Lays,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.34,3.65
139,,fairway,Pringles,607 second st,brewton,AL,USA,31.11823,-87.07608,36426,0.0,0.0,0.0,0.0,03/05/2022,,TRUE,3.14,4.19
140,,walmart neighborhood market,Daisy Brand,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,4.32,9.66
141,,walmart neighborhood market,Ortega,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,10.83,3.98
142,,aldi inc,Pace (Dips & Sauces),710 academy drive,birmingham,AL,USA,33.597408,-86.694073,35206,0.0,0.0,0.0,0.0,01/06/2022,,TRUE,4.15,4.65
143,237.0,walgreens,Santitas,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,9.99,11.49
144,1.0,whole food creations,Tostitos,4282 silver lake road,pinson,AL,USA,33.688326,-86.678329,35215,837.0,837.0,0.0,837.0,08/03/2022,,TRUE,6.39,7.99
145,,walmart neighborhood market,Splenda,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,10.18,8.68
146,33.0,family dollar #375,TurkeyHill,"761 mckenzie street,","foley,",AL,USA,30.413609382868792,-87.68384543580555,36535,0.0,0.0,0.0,0.0,01/22/2022,,TRUE,1.74,1.99
147,,walmart neighborhood market,Perdue,"walmart neighborhood market, 1916, center point parkway, center point gardens, center point", jefferson county,AL, United States of America,33.637368,-86.684495,35215,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,12.94,3.33
148,,dollar tree,Arnold White Bread,"197 baldwin sq.,","fairhope,",AL,USA,0.0,0.0,36532,0.0,0.0,0.0,0.0,03/05/2022,,TRUE,1.0,1.25
149,12.0,walgreens,Smuckers,860 nw 87th avenue apartment 102,jacksonville,AL,USA,0.0,0.0,0,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,3.49,4.49
