,brand,1.0,2.0,3.0,4.0,5.0,sentiment_pos,sentiment_neg,sentiment_neu,ratings,loyal,disloyal,neutral,highest_income,lowest_income,race_demo
65,Calidad,1.0,2.0,7.0,13.0,78.0,33.339,33.474,33.187,3.9,33.31,33.442,33.248,"74,999","14,999",83.21
66,California Sun Dry,3.0,2.0,3.0,12.0,80.0,33.328,33.321,33.352,3.9,33.369,33.415,33.216,"74,999","14,999",83.21
67,Campbells,2.0,2.0,5.0,11.0,80.0,33.299,33.305,33.396,3.9,33.269,33.351,33.38,"74,999","14,999",83.21
68,Canada Dry,11.0,3.0,3.0,10.0,73.0,33.276,33.433,33.291,3.9,33.272,33.246,33.482,"74,999","14,999",83.21
69,Canine Carry Outs,2.0,1.0,4.0,9.0,84.0,33.396,33.397,33.207,3.9,33.351,33.373,33.277,"74,999","14,999",83.21
70,Canon,4.0,2.0,5.0,15.0,74.0,33.469,33.252,33.279,3.9,33.367,33.31,33.323,"74,999","14,999",83.21
71,Cape Cod,2.0,2.0,4.0,12.0,81.0,33.435,33.261,33.304,3.9,33.351,33.397,33.252,"74,999","14,999",83.21
72,Capri Sun,4.0,0.0,6.0,5.0,86.0,33.344,33.303,33.353,4.2,33.32,33.409,33.272,"74,999","14,999",83.21
73,Carefree,2.0,1.0,4.0,10.0,83.0,33.418,33.293,33.289,3.9,33.385,33.402,33.213,"74,999","14,999",83.21
74,Caribou Coffee,2.0,2.0,5.0,13.0,80.0,33.373,33.309,33.318,4.5,33.265,33.254,33.481,"74,999","14,999",83.21
75,Carvel Ice Cream,9.0,4.0,9.0,12.0,66.0,33.377,33.366,33.257,3.9,33.192,33.386,33.422,"74,999","14,999",83.21
76,Cascadian Farm,3.0,1.0,3.0,6.0,87.0,33.456,33.273,33.271,3.9,33.333,33.435,33.232,"74,999","14,999",83.21
77,Centrum,2.0,1.0,3.0,11.0,82.0,33.294,33.473,33.232,3.9,33.381,33.426,33.192,"74,999","14,999",83.21
78,Cetaphil,4.0,2.0,5.0,10.0,79.0,33.45,33.427,33.123,3.9,33.328,33.368,33.304,"74,999","14,999",83.21
79,Checkers and Rallys,1.0,1.0,5.0,11.0,82.0,33.238,33.263,33.499,3.9,33.323,33.397,33.28,"74,999","14,999",83.21
80,Cheetos,7.0,3.0,8.0,11.0,71.0,33.301,33.371,33.328,4.3,33.292,33.215,33.493,"74,999","14,999",83.21
81,Cheez Whiz,9.0,3.0,8.0,22.0,59.0,33.307,33.377,33.316,3.7,33.248,33.472,33.281,"74,999","14,999",83.21
82,Chef Boyardee,2.0,2.0,6.0,12.0,78.0,33.379,33.268,33.353,3.9,33.236,33.392,33.372,"74,999","14,999",83.21
83,Chex,1.0,1.0,4.0,10.0,84.0,33.319,33.302,33.379,3.9,33.404,33.349,33.247,"74,999","14,999",83.21
84,Chicken of the Sea,1.0,1.0,4.0,12.0,82.0,33.396,33.254,33.35,3.9,33.383,33.354,33.263,"74,999","14,999",83.21
85,Chiquita,2.0,0.0,2.0,3.0,92.0,33.302,33.271,33.427,3.9,33.28,33.234,33.486,"74,999","14,999",83.21
86,Cinnabon,1.0,1.0,3.0,7.0,87.0,33.402,33.449,33.149,3.9,33.301,33.353,33.346,"74,999","14,999",83.21
87,Cinnamon Toast Crunch,1.0,1.0,7.0,10.0,81.0,33.159,33.401,33.44,4.7,33.359,33.43,33.211,"74,999","14,999",83.21
88,Clabber Girl,1.0,0.0,2.0,9.0,87.0,33.337,33.39,33.273,3.9,33.338,33.273,33.389,"74,999","14,999",83.21
89,Clairol,10.0,3.0,5.0,13.0,69.0,33.264,33.427,33.309,3.9,33.48,33.229,33.291,"74,999","14,999",83.21
90,Clamato,10.0,4.0,6.0,8.0,72.0,33.337,33.307,33.356,4.4,33.44,33.282,33.278,"74,999","14,999",83.21
91,Claussen,2.0,1.0,3.0,8.0,86.0,33.411,33.386,33.204,3.9,33.227,33.239,33.534,"74,999","14,999",83.21
92,Clean & Clear,2.0,1.0,5.0,13.0,78.0,33.283,33.501,33.215,3.9,33.443,33.304,33.253,"74,999","14,999",83.21
93,Clif Bar,2.0,1.0,6.0,11.0,80.0,33.325,33.333,33.342,3.9,33.288,33.343,33.369,"74,999","14,999",83.21
94,Clinique,2.0,1.0,3.0,8.0,86.0,33.265,33.363,33.373,3.9,33.259,33.501,33.239,"74,999","14,999",83.21
95,Clorox,11.0,12.0,32.0,12.0,34.0,33.404,33.256,33.341,3.9,33.288,33.394,33.318,"74,999","14,999",83.21
96,Close-Up,1.0,0.0,2.0,5.0,91.0,33.185,33.54,33.275,3.3,33.464,33.117,33.419,"74,999","14,999",83.21
97,Coca Cola,2.0,1.0,3.0,6.0,88.0,33.221,33.4,33.379,3.9,33.453,33.327,33.22,"74,999","14,999",83.21
98,Coleman,3.0,2.0,4.0,16.0,74.0,33.34,33.344,33.316,3.9,33.397,33.334,33.268,"74,999","14,999",83.21
99,Colgate,3.0,1.0,6.0,10.0,80.0,33.376,33.32,33.304,3.9,33.394,33.422,33.184,"74,999","14,999",83.21
100,Contigo,2.0,1.0,4.0,10.0,82.0,33.457,33.334,33.209,3.9,33.257,33.463,33.28,"74,999","14,999",83.21
101,Cooper (Cheese),4.0,0.0,2.0,5.0,88.0,33.245,33.32,33.436,3.9,33.394,33.172,33.434,"74,999","14,999",83.21
102,Coors,7.0,0.0,0.0,7.0,86.0,33.26,33.406,33.334,3.9,33.223,33.374,33.404,"74,999","14,999",83.21
103,Core Hydration,1.0,1.0,2.0,6.0,90.0,33.34,33.331,33.329,3.9,33.301,33.376,33.323,"74,999","14,999",83.21
104,CoverGirl,7.0,5.0,14.0,18.0,56.0,33.272,33.369,33.359,3.9,33.138,33.456,33.406,"74,999","14,999",83.21
105,Cra-Z-Art,7.0,2.0,13.0,13.0,66.0,33.213,33.281,33.506,3.9,33.377,33.414,33.209,"74,999","14,999",83.21
106,Crayola,2.0,1.0,3.0,6.0,87.0,33.422,33.346,33.232,3.9,33.336,33.163,33.501,"74,999","14,999",83.21
107,Creme of Nature,3.0,2.0,3.0,11.0,80.0,33.6,33.238,33.162,3.9,33.373,33.277,33.35,"74,999","14,999",83.21
108,Crisco (Canola Oil),1.0,1.0,4.0,11.0,84.0,33.369,33.297,33.334,3.9,33.279,33.377,33.344,"74,999","14,999",83.21
109,Crush Orange,0.0,0.0,0.0,56.0,44.0,33.356,33.422,33.222,3.9,33.336,33.278,33.386,"74,999","14,999",83.21
110,Crystal Light,2.0,1.0,4.0,11.0,82.0,33.505,33.223,33.272,3.9,33.218,33.425,33.357,"74,999","14,999",83.21
111,DYMO,5.0,1.0,3.0,7.0,84.0,33.389,33.453,33.158,3.9,33.362,33.379,33.259,"74,999","14,999",83.21
112,Dairy Queen,0.0,0.0,0.0,0.0,100.0,33.33,33.397,33.272,5.0,33.206,33.263,33.531,"74,999","14,999",83.21
113,Dairygold,1.0,0.0,5.0,12.0,82.0,33.291,33.303,33.406,3.9,33.389,33.385,33.226,"74,999","14,999",83.21
114,Daisy Brand,0.0,0.0,3.0,9.0,87.0,33.335,33.443,33.222,3.9,33.417,33.272,33.311,"74,999","14,999",83.21
115,Dannon,1.0,1.0,4.0,10.0,84.0,33.362,33.254,33.384,3.9,33.426,33.331,33.244,"74,999","14,999",83.21
116,David Sunflower Seeds,1.0,1.0,3.0,8.0,88.0,33.405,33.27,33.325,3.5,33.477,33.418,33.105,"74,999","14,999",83.21
117,Dawn,2.0,1.0,4.0,5.0,89.0,33.488,33.162,33.35,3.9,33.249,33.285,33.466,"74,999","14,999",83.21
118,Deja Blue,10.0,0.0,4.0,14.0,72.0,33.213,33.368,33.419,3.9,33.499,33.265,33.237,"74,999","14,999",83.21
119,Del Monte,2.0,2.0,8.0,13.0,75.0,33.266,33.326,33.409,3.9,33.237,33.446,33.317,"74,999","14,999",83.21
120,Dell,4.0,4.0,8.0,14.0,70.0,33.317,33.516,33.167,3.9,33.323,33.342,33.335,"74,999","14,999",83.21
121,Desitin,1.0,1.0,3.0,8.0,88.0,33.331,33.31,33.359,3.9,33.238,33.437,33.325,"74,999","14,999",83.21
122,DiGiorno Pizza,2.0,1.0,6.0,12.0,80.0,33.267,33.293,33.44,3.9,33.433,33.22,33.347,"74,999","14,999",83.21
123,Dial,1.0,0.0,3.0,8.0,88.0,33.29,33.499,33.211,3.9,33.297,33.308,33.395,"74,999","14,999",83.21
124,Diet Rite,11.0,5.0,9.0,8.0,68.0,33.439,33.288,33.273,3.9,33.459,33.314,33.227,"74,999","14,999",83.21
125,Dixon-Ticonderoga,3.0,3.0,5.0,13.0,76.0,33.361,33.387,33.253,3.9,33.281,33.287,33.432,"74,999","14,999",83.21
126,Domex,5.0,0.0,15.0,28.0,51.0,33.37,33.325,33.305,3.9,33.328,33.191,33.481,"74,999","14,999",83.21
127,Dominos,11.0,4.0,10.0,14.0,60.0,33.336,33.295,33.369,3.9,33.291,33.158,33.551,"74,999","14,999",83.21
128,Doritos,3.0,1.0,3.0,6.0,86.0,33.327,33.25,33.423,3.9,33.324,33.347,33.329,"74,999","14,999",83.21
129,Dove,1.0,1.0,3.0,8.0,87.0,33.335,33.482,33.183,3.9,33.21,33.479,33.311,"74,999","14,999",83.21
130,Downy,0.0,0.0,2.0,7.0,90.0,33.27,33.343,33.387,3.9,33.466,33.292,33.242,"74,999","14,999",83.21
131,Dr. Pepper,5.0,5.0,4.0,8.0,78.0,33.369,33.195,33.437,3.9,33.279,33.377,33.344,"74,999","14,999",83.21
132,Drakes,7.0,5.0,8.0,12.0,68.0,33.355,33.308,33.337,3.9,33.329,33.339,33.332,"74,999","14,999",83.21
133,Dreyers,5.0,6.0,4.0,11.0,75.0,33.378,33.331,33.291,3.9,33.34,33.26,33.399,"74,999","14,999",83.21
134,Duncan Hines,4.0,4.0,4.0,4.0,84.0,33.398,33.362,33.24,3.9,33.179,33.356,33.465,"74,999","14,999",83.21
135,Dunkin Donuts,3.0,2.0,4.0,7.0,84.0,33.376,33.192,33.432,3.9,33.213,33.244,33.544,"74,999","14,999",83.21
136,Duracell,1.0,0.0,2.0,7.0,90.0,33.312,33.378,33.309,3.9,33.337,33.286,33.377,"74,999","14,999",83.21
137,EPIC,8.0,5.0,7.0,14.0,67.0,33.378,33.29,33.332,3.9,33.343,33.363,33.293,"74,999","14,999",83.21
138,Eat Smart Snacks,3.0,2.0,7.0,10.0,78.0,33.319,33.393,33.288,3.9,33.316,33.418,33.266,"74,999","14,999",83.21
139,Eggo,1.0,1.0,4.0,9.0,86.0,33.392,33.391,33.217,4.3,33.252,33.355,33.394,"74,999","14,999",83.21
140,El Monterey,17.0,0.0,10.0,24.0,49.0,33.378,33.398,33.224,3.9,33.26,33.271,33.47,"74,999","14,999",83.21
141,Elmers,1.0,1.0,3.0,10.0,85.0,33.35,33.374,33.276,3.9,33.239,33.306,33.455,"74,999","14,999",83.21
142,Emerald Nuts,2.0,2.0,6.0,13.0,77.0,33.401,33.402,33.197,3.9,33.432,33.152,33.417,"74,999","14,999",83.21
143,Emerils,5.0,3.0,6.0,13.0,74.0,33.41,33.258,33.331,3.9,33.23,33.365,33.405,"74,999","14,999",83.21
144,Epson,9.0,4.0,9.0,19.0,59.0,33.341,33.298,33.361,3.9,33.228,33.342,33.429,"74,999","14,999",83.21
145,Equal,1.0,0.0,2.0,7.0,89.0,33.371,33.372,33.257,3.9,33.252,33.507,33.241,"74,999","14,999",83.21
146,Expo (Markers),4.0,4.0,4.0,11.0,77.0,33.308,33.287,33.405,3.9,33.371,33.455,33.174,"74,999","14,999",83.21
147,Fage,0.0,25.0,0.0,25.0,49.0,33.301,33.349,33.351,3.9,33.322,33.437,33.241,"74,999","14,999",83.21
148,Famous Amos,6.0,4.0,2.0,10.0,78.0,33.324,33.376,33.3,4.4,33.307,33.418,33.275,"74,999","14,999",83.21
149,Fanta,4.0,0.0,11.0,0.0,85.0,33.249,33.42,33.332,3.9,33.288,33.284,33.428,"74,999","14,999",83.21
150,Ferrero Rocher,4.0,2.0,3.0,6.0,85.0,33.274,33.213,33.513,3.9,33.335,33.249,33.416,"74,999","14,999",83.21
151,Fiber One,4.0,1.0,5.0,12.0,78.0,33.251,33.436,33.313,3.9,33.262,33.419,33.319,"74,999","14,999",83.21
152,Fiji Water,2.0,0.0,2.0,6.0,90.0,33.205,33.378,33.417,3.9,33.258,33.305,33.438,"74,999","14,999",83.21
153,Finish,1.0,2.0,7.0,13.0,77.0,33.189,33.323,33.489,3.9,33.252,33.34,33.408,"74,999","14,999",83.21
154,Fisher-Price,2.0,2.0,7.0,11.0,77.0,33.32,33.475,33.205,3.9,33.373,33.239,33.388,"74,999","14,999",83.21
155,Fiskars,1.0,0.0,2.0,7.0,90.0,33.255,33.233,33.512,3.9,33.419,33.363,33.218,"74,999","14,999",83.21
156,Flonase,2.0,1.0,4.0,11.0,82.0,33.214,33.423,33.363,3.9,33.282,33.496,33.222,"74,999","14,999",83.21
157,Folgers,2.0,2.0,5.0,10.0,81.0,33.337,33.313,33.35,3.9,33.307,33.251,33.442,"74,999","14,999",83.21
158,Food Should Taste Good,4.0,3.0,7.0,12.0,75.0,33.372,33.29,33.338,3.9,33.145,33.474,33.382,"74,999","14,999",83.21
159,Foster Farms,71.0,12.0,5.0,5.0,7.0,33.319,33.237,33.444,3.9,33.473,33.372,33.155,"74,999","14,999",83.21
160,Frenchs,1.0,0.0,3.0,10.0,87.0,33.213,33.378,33.41,3.9,33.181,33.39,33.429,"74,999","14,999",83.21
161,Frito-Lay,4.0,4.0,9.0,12.0,70.0,33.518,33.298,33.184,3.9,33.289,33.218,33.492,"74,999","14,999",83.21
162,Gain (Laundry),1.0,0.0,2.0,8.0,89.0,33.183,33.397,33.42,3.9,33.443,33.349,33.209,"74,999","14,999",83.21
163,Gamesa Cookies,5.0,1.0,5.0,7.0,83.0,33.259,33.404,33.337,3.9,33.497,33.247,33.256,"74,999","14,999",83.21
164,Gardettos,2.0,2.0,5.0,11.0,80.0,33.211,33.218,33.572,3.9,33.338,33.436,33.226,"74,999","14,999",83.21
165,Garnier,1.0,4.0,6.0,13.0,75.0,33.341,33.387,33.272,3.9,33.347,33.391,33.262,"74,999","14,999",83.21
166,Gatorade,1.0,1.0,3.0,8.0,97.0,33.424,33.235,33.341,3.9,33.305,33.27,33.425,"74,999","14,999",83.21
167,Gaviscon,1.0,0.0,4.0,8.0,87.0,33.263,33.546,33.191,3.9,33.436,33.198,33.366,"74,999","14,999",83.21
168,Gerber,1.0,1.0,2.0,8.0,89.0,33.27,33.26,33.471,3.9,33.227,33.429,33.344,"74,999","14,999",83.21
169,Ghirardelli,2.0,1.0,3.0,13.0,80.0,33.395,33.371,33.234,3.9,33.445,33.297,33.258,"74,999","14,999",83.21
170,Gillette,12.0,4.0,19.0,9.0,55.0,33.527,33.354,33.119,3.9,33.415,33.32,33.266,"74,999","14,999",83.21
171,Glade,1.0,1.0,7.0,13.0,78.0,33.353,33.305,33.342,3.9,33.377,33.323,33.3,"74,999","14,999",83.21
172,Gloria Jeans Coffee,4.0,4.0,2.0,4.0,87.0,33.42,33.163,33.418,3.9,33.297,33.428,33.275,"74,999","14,999",83.21
173,Gold Medal (Flour),3.0,0.0,4.0,12.0,81.0,33.302,33.44,33.258,3.9,33.277,33.276,33.447,"74,999","14,999",83.21
174,Grandmas Molasses,6.0,2.0,3.0,11.0,78.0,33.427,33.232,33.34,3.9,33.229,33.365,33.406,"74,999","14,999",83.21
175,Gravy Train,3.0,3.0,7.0,13.0,73.0,33.378,33.202,33.42,3.9,33.329,33.325,33.347,"74,999","14,999",83.21
176,Green Giant,4.0,5.0,3.0,19.0,69.0,33.352,33.283,33.365,3.9,33.302,33.488,33.211,"74,999","14,999",83.21
177,Green Mountain Coffee,1.0,1.0,3.0,10.0,85.0,33.452,33.252,33.296,3.9,33.326,33.345,33.329,"74,999","14,999",83.21
178,Grey Goose,2.0,0.0,2.0,5.0,92.0,33.164,33.302,33.534,3.9,33.274,33.433,33.293,"74,999","14,999",83.21
179,Grey Poupon,1.0,1.0,3.0,10.0,85.0,33.288,33.282,33.429,4.6,33.383,33.193,33.424,"74,999","14,999",83.21
180,Guerrero,1.0,1.0,6.0,10.0,82.0,33.253,33.466,33.281,3.9,33.402,33.352,33.246,"74,999","14,999",83.21
181,Haagen-Dazs,1.0,1.0,4.0,9.0,85.0,33.28,33.304,33.416,3.9,33.287,33.156,33.557,"74,999","14,999",83.21
182,Hawaiian Punch,1.0,2.0,5.0,10.0,81.0,33.253,33.394,33.353,3.9,33.366,33.334,33.3,"74,999","14,999",83.21
183,Head & Shoulders,1.0,1.0,2.0,8.0,88.0,33.456,33.317,33.227,4.5,33.286,33.555,33.159,"74,999","14,999",83.21
184,Heineken,0.0,0.0,3.0,13.0,84.0,33.252,33.322,33.426,3.9,33.411,33.245,33.344,"74,999","14,999",83.21
185,Heinz,1.0,0.0,2.0,8.0,89.0,33.37,33.34,33.29,3.9,33.306,33.447,33.247,"74,999","14,999",83.21
186,Hellmanns,24.0,0.0,25.0,24.0,27.0,33.243,33.345,33.412,3.9,33.361,33.316,33.324,"74,999","14,999",83.21
187,Hersheys,9.0,2.0,5.0,8.0,76.0,33.352,33.289,33.359,3.9,33.296,33.369,33.334,"74,999","14,999",83.21
188,Hewlett-Packard,4.0,3.0,4.0,11.0,79.0,33.169,33.432,33.398,3.9,33.246,33.299,33.455,"74,999","14,999",83.21
189,Hormel,8.0,7.0,10.0,8.0,67.0,33.466,33.143,33.39,3.9,33.373,33.374,33.253,"74,999","14,999",83.21
190,Hormel Foods,0.0,3.0,1.0,4.0,92.0,33.309,33.441,33.251,3.9,33.362,33.46,33.178,"74,999","14,999",83.21
191,Hostess Cupcakes,6.0,5.0,9.0,13.0,67.0,33.371,33.321,33.307,3.9,33.35,33.426,33.224,"74,999","14,999",83.21
192,Hot Pockets,4.0,3.0,11.0,13.0,68.0,33.247,33.46,33.293,3.9,33.417,33.306,33.276,"74,999","14,999",83.21
193,Hungry Jack,1.0,1.0,4.0,8.0,85.0,33.321,33.29,33.389,3.9,33.344,33.409,33.247,"74,999","14,999",83.21
194,Hunts,1.0,0.0,3.0,5.0,90.0,33.249,33.429,33.322,3.9,33.287,33.396,33.317,"74,999","14,999",83.21
195,Immaculate Baking,1.0,1.0,5.0,13.0,79.0,33.394,33.308,33.299,3.9,33.144,33.474,33.383,"74,999","14,999",83.21
196,Imperial Spread,1.0,1.0,4.0,10.0,84.0,33.397,33.38,33.223,3.9,33.36,33.32,33.32,"74,999","14,999",83.21
197,Irish Spring,1.0,0.0,4.0,8.0,87.0,33.268,33.23,33.502,3.9,33.312,33.243,33.446,"74,999","14,999",83.21
