,brand,age,sentiment_pos,sentiment_neg,sentiment_neu
591,Ajinomoto,5 to 9 years,33.2632,33.0833,33.6535
592,Ajinomoto,55 to 59 years,33.3991,33.1184,33.4825
593,Ajinomoto,60 to 64 years,32.9737,33.75,33.2763
594,Ajinomoto,65 to 74 years,33.1754,33.7456,33.0789
595,Ajinomoto,75 to 84 years,33.1623,33.2588,33.5789
587,Ajinomoto,20 to 24 years,33.7632,32.9561,33.2807
596,Ajinomoto,85 years and over,33.7982,33.1886,33.0132
597,Ajinomoto,Under 5 years,33.0526,33.2588,33.6886
586,Ajinomoto,15 to 19 years,33.4167,32.9518,33.6316
585,Ajinomoto,10 to 14 years,33.2719,33.3465,33.3816
588,Ajinomoto,25 to 34 years,32.9868,33.8991,33.114
589,Ajinomoto,35 to 44 years,33.0351,33.7675,33.1974
3081,Almond Roca,10 to 14 years,33.614,33.3904,32.9956
3087,Almond Roca,5 to 9 years,33.4781,33.3509,33.1711
3083,Almond Roca,20 to 24 years,33.4912,32.9298,33.5789
3084,Almond Roca,25 to 34 years,33.3904,33.4254,33.1842
3085,Almond Roca,35 to 44 years,33.307,33.4649,33.2281
3086,Almond Roca,45 to 54 years,33.2281,33.5439,33.2281
3088,Almond Roca,55 to 59 years,33.0439,33.2237,33.7325
3089,Almond Roca,60 to 64 years,33.3202,33.693,32.9868
3090,Almond Roca,65 to 74 years,33.4079,33.4167,33.1754
3091,Almond Roca,75 to 84 years,33.2456,33.2281,33.5263
3092,Almond Roca,85 years and over,33.5395,33.443,33.0175
3093,Almond Roca,Under 5 years,32.7018,33.7544,33.5439
3082,Almond Roca,15 to 19 years,33.0044,33.4605,33.5351
6267,Andalou Naturals,15 to 19 years,33.7018,33.0219,33.2763
6268,Andalou Naturals,20 to 24 years,33.8158,33.5219,32.6623
6269,Andalou Naturals,25 to 34 years,33.193,33.6886,33.1184
6270,Andalou Naturals,35 to 44 years,33.3991,33.4123,33.1886
6271,Andalou Naturals,45 to 54 years,33.9825,33.1974,32.8202
6266,Andalou Naturals,10 to 14 years,32.9254,33.75,33.3246
6273,Andalou Naturals,55 to 59 years,33.6667,33.114,33.2193
6274,Andalou Naturals,60 to 64 years,32.693,33.193,34.114
6275,Andalou Naturals,65 to 74 years,33.4737,32.4956,34.0307
6276,Andalou Naturals,75 to 84 years,33.2368,33.1184,33.6447
6277,Andalou Naturals,85 years and over,32.8772,33.386,33.7368
6272,Andalou Naturals,5 to 9 years,33.1096,33.4211,33.4693
6278,Andalou Naturals,Under 5 years,33.1886,33.0351,33.7763
4222,Anker,75 to 84 years,33.9298,32.8684,33.2018
4221,Anker,65 to 74 years,32.9167,33.636,33.4474
4212,Anker,10 to 14 years,32.9342,33.75,33.3158
4213,Anker,15 to 19 years,32.8728,33.4342,33.693
4216,Anker,35 to 44 years,32.864,33.5921,33.5439
4215,Anker,25 to 34 years,33.1053,33.7412,33.1535
4223,Anker,85 years and over,32.614,33.8684,33.5175
4217,Anker,45 to 54 years,33.1667,33.5395,33.2939
4218,Anker,5 to 9 years,33.0351,33.6754,33.2895
4214,Anker,20 to 24 years,33.2851,33.6667,33.0482
4224,Anker,Under 5 years,33.7632,33.136,33.1009
4220,Anker,60 to 64 years,33.2807,33.5658,33.1535
4219,Anker,55 to 59 years,32.8465,33.5921,33.5614
5019,Annies,15 to 19 years,33.1447,33.6184,33.2368
5021,Annies,25 to 34 years,33.2719,33.6623,33.0658
5022,Annies,35 to 44 years,33.7149,32.8553,33.4298
5023,Annies,45 to 54 years,32.7982,33.6842,33.5175
5024,Annies,5 to 9 years,33.7895,33.136,33.0746
5025,Annies,55 to 59 years,33.5132,33.0965,33.3904
5026,Annies,60 to 64 years,33.0702,33.2588,33.6711
5027,Annies,65 to 74 years,33.2588,33.75,32.9912
5028,Annies,75 to 84 years,33.364,33.8816,32.7544
5018,Annies,10 to 14 years,33.1009,33.2149,33.6842
5020,Annies,20 to 24 years,33.2412,33.1184,33.6404
5030,Annies,Under 5 years,33.6711,33.2368,33.0921
5029,Annies,85 years and over,32.8596,33.3421,33.7982
4482,Apple iPhone,75 to 84 years,33.4518,33.0702,33.4781
4472,Apple iPhone,10 to 14 years,33.4912,32.8772,33.6316
4473,Apple iPhone,15 to 19 years,33.6228,32.6886,33.6886
4475,Apple iPhone,25 to 34 years,33.3684,33.386,33.2456
4476,Apple iPhone,35 to 44 years,32.9737,33.636,33.3904
4477,Apple iPhone,45 to 54 years,33.3816,33.2018,33.4167
4474,Apple iPhone,20 to 24 years,32.6711,33.2368,34.0921
4479,Apple iPhone,55 to 59 years,33.4956,33.6316,32.8728
4480,Apple iPhone,60 to 64 years,33.3202,33.6096,33.0702
4481,Apple iPhone,65 to 74 years,33.3816,33.2412,33.3772
4483,Apple iPhone,85 years and over,33.1053,33.2763,33.6184
4484,Apple iPhone,Under 5 years,33.2895,33.4079,33.3026
4478,Apple iPhone,5 to 9 years,33.1974,33.7018,33.1009
877,Aquafina,5 to 9 years,33.3772,33.7456,32.8772
882,Aquafina,85 years and over,33.0921,33.5965,33.3114
881,Aquafina,75 to 84 years,33.4035,33.0746,33.5219
880,Aquafina,65 to 74 years,33.1886,33.2281,33.5833
879,Aquafina,60 to 64 years,33.7105,32.9254,33.364
878,Aquafina,55 to 59 years,33.5263,32.8728,33.6009
876,Aquafina,45 to 54 years,32.7982,33.6316,33.5702
883,Aquafina,Under 5 years,33.3465,33.0044,33.6491
874,Aquafina,25 to 34 years,33.1798,33.4079,33.4123
873,Aquafina,20 to 24 years,33.2105,33.7193,33.0702
872,Aquafina,15 to 19 years,33.3904,33.1623,33.4474
871,Aquafina,10 to 14 years,33.4167,33.8421,32.7412
875,Aquafina,35 to 44 years,33.2982,33.614,33.0877
1076,Aquafresh,75 to 84 years,33.2982,33.4079,33.2939
1075,Aquafresh,65 to 74 years,33.5614,33.0219,33.4167
1074,Aquafresh,60 to 64 years,33.1053,33.7982,33.0965
1073,Aquafresh,55 to 59 years,33.6798,33.2105,33.1096
1072,Aquafresh,5 to 9 years,33.0482,33.136,33.8158
1070,Aquafresh,35 to 44 years,32.7982,33.9079,33.2939
1077,Aquafresh,85 years and over,33.2544,33.4079,33.3377
1069,Aquafresh,25 to 34 years,32.8114,33.7412,33.4474
1068,Aquafresh,20 to 24 years,33.3202,33.7149,32.9649
1067,Aquafresh,15 to 19 years,33.1798,33.8684,32.9518
1066,Aquafresh,10 to 14 years,33.5219,33.3246,33.1535
1071,Aquafresh,45 to 54 years,32.9693,33.5965,33.4342
1078,Aquafresh,Under 5 years,33.3904,33.1623,33.4474
6215,Archway,15 to 19 years,33.2588,33.5658,33.1754
6216,Archway,20 to 24 years,33.5614,32.8772,33.5614
6217,Archway,25 to 34 years,33.5263,33.1228,33.3509
6218,Archway,35 to 44 years,33.3026,33.5395,33.1579
6219,Archway,45 to 54 years,33.0219,33.7939,33.1842
6220,Archway,5 to 9 years,33.0833,33.7588,33.1579
6221,Archway,55 to 59 years,33.5351,32.9561,33.5088
6222,Archway,60 to 64 years,33.3246,33.6009,33.0746
6223,Archway,65 to 74 years,33.057,33.5702,33.3728
6224,Archway,75 to 84 years,33.0,33.4035,33.5965
6225,Archway,85 years and over,33.6316,32.5921,33.7763
6226,Archway,Under 5 years,33.0921,33.3728,33.5351
6214,Archway,10 to 14 years,33.5132,33.3289,33.1579
1401,Argo Tea,75 to 84 years,33.3904,33.1623,33.4474
1402,Argo Tea,85 years and over,33.2982,33.3026,33.3991
1397,Argo Tea,5 to 9 years,33.6667,33.114,33.2193
1391,Argo Tea,10 to 14 years,33.9211,33.0,33.0789
1392,Argo Tea,15 to 19 years,33.4254,32.9167,33.6579
1393,Argo Tea,20 to 24 years,33.4254,32.9693,33.6053
1394,Argo Tea,25 to 34 years,32.9868,33.6623,33.3509
1395,Argo Tea,35 to 44 years,33.4298,33.2193,33.3509
1396,Argo Tea,45 to 54 years,33.4254,33.3465,33.2281
1400,Argo Tea,65 to 74 years,33.6798,33.1886,33.1316
1403,Argo Tea,Under 5 years,33.3246,33.0877,33.5877
1398,Argo Tea,55 to 59 years,33.4474,33.5088,33.0439
1399,Argo Tea,60 to 64 years,33.6579,33.1228,33.2193
5395,AriZona,10 to 14 years,33.5132,33.1404,33.3465
5396,AriZona,15 to 19 years,33.3772,33.5395,33.0833
5397,AriZona,20 to 24 years,33.9912,32.4912,33.5175
5399,AriZona,35 to 44 years,33.3026,33.7368,32.9605
5400,AriZona,45 to 54 years,33.364,33.3026,33.3333
5398,AriZona,25 to 34 years,33.1798,33.864,32.9561
5402,AriZona,55 to 59 years,32.9956,33.2456,33.7588
5403,AriZona,60 to 64 years,33.8772,33.0658,33.057
5404,AriZona,65 to 74 years,33.7149,32.693,33.5921
5405,AriZona,75 to 84 years,33.1667,33.6667,33.1667
5406,AriZona,85 years and over,33.2588,33.6228,33.1184
5407,AriZona,Under 5 years,33.2719,33.364,33.364
5401,AriZona,5 to 9 years,33.1667,33.25,33.5833
1701,Ariel,85 years and over,33.3377,33.364,33.2982
1692,Ariel,20 to 24 years,33.0307,33.0175,33.9518
1693,Ariel,25 to 34 years,33.25,33.443,33.307
1702,Ariel,Under 5 years,33.6053,32.9605,33.4342
1700,Ariel,75 to 84 years,33.9518,32.9605,33.0877
1697,Ariel,55 to 59 years,32.9825,33.4825,33.5351
1698,Ariel,60 to 64 years,33.5175,33.2588,33.2237
1696,Ariel,5 to 9 years,33.2632,33.3026,33.4342
1695,Ariel,45 to 54 years,32.5965,33.6974,33.7061
1694,Ariel,35 to 44 years,32.8553,33.3596,33.7851
1691,Ariel,15 to 19 years,33.4211,33.5088,33.0702
1699,Ariel,65 to 74 years,33.364,33.8465,32.7895
1690,Ariel,10 to 14 years,33.1228,33.4079,33.4693
1389,Arm & Hammer,85 years and over,33.5395,33.5614,32.8991
1386,Arm & Hammer,60 to 64 years,33.1184,33.4079,33.4737
1388,Arm & Hammer,75 to 84 years,33.5088,33.4956,32.9956
1387,Arm & Hammer,65 to 74 years,33.1053,33.614,33.2807
1379,Arm & Hammer,15 to 19 years,33.2982,33.3728,33.3289
1380,Arm & Hammer,20 to 24 years,33.3947,33.2368,33.3684
1381,Arm & Hammer,25 to 34 years,33.5263,33.0526,33.4211
1382,Arm & Hammer,35 to 44 years,33.2719,33.3684,33.3596
1383,Arm & Hammer,45 to 54 years,33.5877,33.1053,33.307
1384,Arm & Hammer,5 to 9 years,32.9079,33.9035,33.1886
1385,Arm & Hammer,55 to 59 years,33.6228,33.2237,33.1535
1390,Arm & Hammer,Under 5 years,33.193,33.0,33.807
1378,Arm & Hammer,10 to 14 years,33.5351,33.4035,33.0614
1925,Arnold White Bread,15 to 19 years,33.0219,33.4561,33.5219
1924,Arnold White Bread,10 to 14 years,33.2719,33.1404,33.5877
1932,Arnold White Bread,60 to 64 years,33.4035,33.1316,33.4649
1926,Arnold White Bread,20 to 24 years,33.4561,33.4561,33.0877
1927,Arnold White Bread,25 to 34 years,32.8684,33.6754,33.4561
1928,Arnold White Bread,35 to 44 years,33.7675,33.0,33.2325
1936,Arnold White Bread,Under 5 years,33.2325,33.4386,33.3289
1935,Arnold White Bread,85 years and over,33.6096,33.4123,32.9781
1934,Arnold White Bread,75 to 84 years,33.3202,33.3158,33.364
1933,Arnold White Bread,65 to 74 years,33.2281,33.443,33.3289
1929,Arnold White Bread,45 to 54 years,33.2456,33.5921,33.1623
1931,Arnold White Bread,55 to 59 years,33.0965,33.4956,33.4079
1930,Arnold White Bread,5 to 9 years,33.2544,33.193,33.5526
5153,Arrowhead Mills,45 to 54 years,33.4956,32.9868,33.5175
5157,Arrowhead Mills,65 to 74 years,32.6886,33.8465,33.4649
5154,Arrowhead Mills,5 to 9 years,33.1316,33.4605,33.4079
5155,Arrowhead Mills,55 to 59 years,32.9825,33.2588,33.7588
5156,Arrowhead Mills,60 to 64 years,33.4605,33.057,33.4825
5158,Arrowhead Mills,75 to 84 years,33.6842,33.2368,33.0789
5152,Arrowhead Mills,35 to 44 years,33.3509,33.1535,33.4956
5150,Arrowhead Mills,20 to 24 years,33.9254,33.1798,32.8947
5151,Arrowhead Mills,25 to 34 years,33.6842,33.2763,33.0395
5159,Arrowhead Mills,85 years and over,33.3421,33.2544,33.4035
5148,Arrowhead Mills,10 to 14 years,32.9912,33.1974,33.8114
5149,Arrowhead Mills,15 to 19 years,32.8816,33.9912,33.1272
5160,Arrowhead Mills,Under 5 years,33.3421,33.1491,33.5088
4198,At-A-Glance,Under 5 years,33.9561,32.8991,33.1447
4197,At-A-Glance,85 years and over,33.2237,33.0702,33.7061
4196,At-A-Glance,75 to 84 years,33.3772,33.3026,33.3202
4195,At-A-Glance,65 to 74 years,32.9605,33.9605,33.0789
4194,At-A-Glance,60 to 64 years,33.4123,33.7237,32.864
4193,At-A-Glance,55 to 59 years,33.3596,33.3684,33.2719
4190,At-A-Glance,35 to 44 years,33.0526,33.2281,33.7193
4189,At-A-Glance,25 to 34 years,33.4868,33.9825,32.5307
4188,At-A-Glance,20 to 24 years,33.4956,33.1096,33.3947
4187,At-A-Glance,15 to 19 years,33.0965,33.1535,33.75
4186,At-A-Glance,10 to 14 years,33.4956,33.6272,32.8772
4192,At-A-Glance,5 to 9 years,33.2456,33.3596,33.3947
4191,At-A-Glance,45 to 54 years,33.4079,33.3377,33.2544
5346,Athenos,25 to 34 years,32.9868,33.6623,33.3509
5347,Athenos,35 to 44 years,33.1798,34.0,32.8202
5344,Athenos,15 to 19 years,33.1491,33.5263,33.3246
5345,Athenos,20 to 24 years,33.1842,33.1053,33.7105
5348,Athenos,45 to 54 years,33.6316,32.6447,33.7237
5343,Athenos,10 to 14 years,33.8509,32.7456,33.4035
5350,Athenos,55 to 59 years,33.2368,33.5175,33.2456
5351,Athenos,60 to 64 years,33.3026,33.193,33.5044
5352,Athenos,65 to 74 years,33.6184,33.2807,33.1009
5355,Athenos,Under 5 years,33.0833,32.9693,33.9474
5354,Athenos,85 years and over,33.3158,33.0965,33.5877
5353,Athenos,75 to 84 years,33.0789,33.8553,33.0658
5349,Athenos,5 to 9 years,32.9561,33.1667,33.8772
516,Aveeno,65 to 74 years,33.6184,33.8026,32.5789
515,Aveeno,60 to 64 years,33.3947,33.5351,33.0702
513,Aveeno,5 to 9 years,33.5263,33.5395,32.9342
512,Aveeno,45 to 54 years,33.3289,33.0351,33.636
511,Aveeno,35 to 44 years,33.4298,33.4386,33.1316
514,Aveeno,55 to 59 years,33.636,32.9605,33.4035
509,Aveeno,20 to 24 years,33.5746,32.75,33.6754
510,Aveeno,25 to 34 years,33.3816,33.1535,33.4649
517,Aveeno,75 to 84 years,33.4561,33.5439,33.0
518,Aveeno,85 years and over,33.6667,33.2149,33.1184
507,Aveeno,10 to 14 years,33.2061,33.4825,33.3114
508,Aveeno,15 to 19 years,34.0921,32.9167,32.9912
519,Aveeno,Under 5 years,33.1886,33.2763,33.5351
4277,Avery (Office Supplies),10 to 14 years,33.3816,32.8509,33.7675
4289,Avery (Office Supplies),Under 5 years,33.2061,33.5702,33.2237
4278,Avery (Office Supplies),15 to 19 years,33.2456,33.3596,33.3947
4279,Avery (Office Supplies),20 to 24 years,32.8816,33.6711,33.4474
4281,Avery (Office Supplies),35 to 44 years,33.3816,33.5921,33.0263
4282,Avery (Office Supplies),45 to 54 years,34.0088,33.3509,32.6404
4283,Avery (Office Supplies),5 to 9 years,33.0702,33.4079,33.5219
4284,Avery (Office Supplies),55 to 59 years,33.2851,33.1184,33.5965
4285,Avery (Office Supplies),60 to 64 years,32.6228,33.3289,34.0482
4286,Avery (Office Supplies),65 to 74 years,33.114,33.1886,33.6974
4287,Avery (Office Supplies),75 to 84 years,33.0395,33.864,33.0965
4288,Avery (Office Supplies),85 years and over,33.4693,33.4211,33.1096
4280,Avery (Office Supplies),25 to 34 years,32.9254,33.4912,33.5833
987,Axe,Under 5 years,33.6711,33.3991,32.9298
976,Axe,15 to 19 years,33.2325,33.3596,33.4079
986,Axe,85 years and over,33.8596,33.0219,33.1184
985,Axe,75 to 84 years,33.0219,33.7895,33.1886
984,Axe,65 to 74 years,33.5351,33.4649,33.0
983,Axe,60 to 64 years,32.75,33.8991,33.3509
982,Axe,55 to 59 years,33.2105,33.3158,33.4737
975,Axe,10 to 14 years,32.9561,33.1404,33.9035
980,Axe,45 to 54 years,33.057,33.1798,33.7632
979,Axe,35 to 44 years,33.0088,34.1316,32.8596
978,Axe,25 to 34 years,33.2018,33.5219,33.2763
977,Axe,20 to 24 years,32.9605,33.4956,33.5439
981,Axe,5 to 9 years,33.2061,33.1096,33.6842
4643,BIC,20 to 24 years,33.6623,33.4167,32.9211
4644,BIC,25 to 34 years,33.6886,32.8246,33.4868
4645,BIC,35 to 44 years,32.8026,33.7456,33.4518
4646,BIC,45 to 54 years,33.0789,33.7632,33.1579
4647,BIC,5 to 9 years,33.7325,32.7763,33.4912
4649,BIC,60 to 64 years,33.0088,33.2851,33.7061
4650,BIC,65 to 74 years,32.9737,33.6404,33.386
4651,BIC,75 to 84 years,33.057,33.4474,33.4956
4652,BIC,85 years and over,33.25,33.2237,33.5263
4642,BIC,15 to 19 years,33.2939,33.3465,33.3596
4648,BIC,55 to 59 years,33.3596,33.2588,33.3816
4653,BIC,Under 5 years,33.2456,33.307,33.4474
4641,BIC,10 to 14 years,33.557,33.5175,32.9254
3821,Back to Nature,Under 5 years,32.2544,33.8728,33.8728
3811,Back to Nature,20 to 24 years,34.2632,33.3377,32.3991
3812,Back to Nature,25 to 34 years,33.114,33.4649,33.4211
3813,Back to Nature,35 to 44 years,32.9342,33.6491,33.4167
3814,Back to Nature,45 to 54 years,33.1842,33.4561,33.3596
3815,Back to Nature,5 to 9 years,33.4825,33.7237,32.7939
3816,Back to Nature,55 to 59 years,33.6842,33.5132,32.8026
3817,Back to Nature,60 to 64 years,33.4868,33.4298,33.0833
3818,Back to Nature,65 to 74 years,33.4035,32.6316,33.9649
3819,Back to Nature,75 to 84 years,33.1711,33.8728,32.9561
3820,Back to Nature,85 years and over,33.3246,33.4254,33.25
3809,Back to Nature,10 to 14 years,33.6228,32.9649,33.4123
3810,Back to Nature,15 to 19 years,33.6886,33.1579,33.1535
1988,Bai,Under 5 years,33.1228,33.3026,33.5746
1987,Bai,85 years and over,33.0219,33.6053,33.3728
1986,Bai,75 to 84 years,33.0088,33.6711,33.3202
1985,Bai,65 to 74 years,33.2632,33.1009,33.636
1984,Bai,60 to 64 years,33.5965,33.7105,32.693
1983,Bai,55 to 59 years,32.9868,33.9386,33.0746
1982,Bai,5 to 9 years,33.6798,33.0526,33.2675
1981,Bai,45 to 54 years,33.4912,33.8904,32.6184
1980,Bai,35 to 44 years,33.1053,32.886,34.0088
1979,Bai,25 to 34 years,33.636,33.1535,33.2105
1978,Bai,20 to 24 years,32.9956,33.4693,33.5351
1976,Bai,10 to 14 years,33.5395,32.8816,33.5789
1977,Bai,15 to 19 years,33.7895,32.6886,33.5219
3759,Bakers Joy,20 to 24 years,33.6447,33.307,33.0482
3768,Bakers Joy,85 years and over,33.4123,32.9956,33.5921
3769,Bakers Joy,Under 5 years,33.6053,33.3553,33.0395
3757,Bakers Joy,10 to 14 years,33.0175,33.3596,33.6228
3758,Bakers Joy,15 to 19 years,33.3904,33.1667,33.443
3761,Bakers Joy,35 to 44 years,34.2193,33.0088,32.7719
3762,Bakers Joy,45 to 54 years,32.9605,33.7851,33.2544
3760,Bakers Joy,25 to 34 years,33.6447,32.8114,33.5439
3764,Bakers Joy,55 to 59 years,33.2456,33.0614,33.693
3765,Bakers Joy,60 to 64 years,33.1096,34.0395,32.8509
3766,Bakers Joy,65 to 74 years,33.2149,32.9561,33.8289
3767,Bakers Joy,75 to 84 years,33.2456,33.8421,32.9123
3763,Bakers Joy,5 to 9 years,33.1754,33.6491,33.1754
2307,Bar S,5 to 9 years,33.2851,33.3246,33.3904
2313,Bar S,Under 5 years,33.0526,34.2149,32.7325
2311,Bar S,75 to 84 years,33.0219,33.2368,33.7412
2312,Bar S,85 years and over,33.3246,33.4298,33.2456
2308,Bar S,55 to 59 years,33.7105,32.9781,33.3114
2301,Bar S,10 to 14 years,32.9254,33.5175,33.557
2302,Bar S,15 to 19 years,33.0658,33.6491,33.2851
2305,Bar S,35 to 44 years,33.2544,33.3333,33.4123
2304,Bar S,25 to 34 years,33.3026,33.3114,33.386
